"species","Spnvisits","P90","prop_abs","Taxa","Taxa_Root"
"LASIOGLOSSUM calceatum",3911,194.2,0.939825214635197,"Bees","Bees"
"LASIOGLOSSUM leucozonium",2490,120,0.961688771271194,"Bees","Bees"
"LASIOGLOSSUM morio",3529,167.4,0.945702680247407,"Bees","Bees"
"LASIOGLOSSUM parvulum",1214,50.1,0.981321352740253,"Bees","Bees"
"LASIOGLOSSUM prasinum",343,19.8,0.994722589777518,"Bees","Bees"
"LASIOGLOSSUM quadrinotatum",68,4.4,0.998953749576884,"Bees","Bees"
"SPHECODES pellucidus",1107,53.2,0.982967658553097,"Bees","Bees"
"ANTHIDIUM manicatum",724,30.4,0.988860510200942,"Bees","Bees"
"OSMIA bicornis",2277,113.2,0.964965996861249,"Bees","Bees"
"OSMIA spinulosa",1008,55,0.984490876080869,"Bees","Bees"
"NOMADA goodeniana",2025,99.1,0.968843277841032,"Bees","Bees"
"NOMADA rufipes",1244,63,0.980859771671231,"Bees","Bees"
"EPEOLUS cruciger",718,33,0.988952826414746,"Bees","Bees"
"ANTHOPHORA plumipes",1976,94.4,0.9695971935871,"Bees","Bees"
"BOMBUS hortorum",5530,245.8,0.914915222943656,"Bees","Bees"
"BOMBUS humilis",858,42.5,0.986798781425978,"Bees","Bees"
"BOMBUS jonellus",1441,81,0.977828722651322,"Bees","Bees"
"BOMBUS lapidarius",9776,423,0.849586115641444,"Bees","Bees"
"Bombus lucorum s.l.",8364,398.4,0.871311197956735,"Bees","Bees"
"BOMBUS pascuorum",13467,705,0.792796258116134,"Bees","Bees"
"BOMBUS pratorum",6756,305,0.896051943256301,"Bees","Bees"
"BOMBUS terrestris",9956,450.6,0.846816629227313,"Bees","Bees"
"BOMBUS hypnorum",2348,440.5,0.963873588331231,"Bees","Bees"
"BOMBUS vestalis",3526,162.8,0.94574883835431,"Bees","Bees"
"APIS mellifera",2858,154.3,0.956026710157861,"Bees","Bees"
"BOMBUS sylvestris",1600,64.2,0.975382342985506,"Bees","Bees"
"BOMBUS magnus",298,19.4,0.995414961381051,"Bees","Bees"
"BOMBUS barbutellus",454,19.5,0.993014739822137,"Bees","Bees"
"BOMBUS soroeensis",302,16.6,0.995353417238514,"Bees","Bees"
"BOMBUS monticola",550,21.5,0.991537680401268,"Bees","Bees"
"BOMBUS ruderatus",161,9.7,0.997522848262917,"Bees","Bees"
"BOMBUS sylvarum",381,22.4,0.994137920423424,"Bees","Bees"
"BOMBUS rupestris",727,43.6,0.988814352094039,"Bees","Bees"
"NOMADA integra",119,9,0.998169061759547,"Bees","Bees"
"BOMBUS muscorum",1034,51.6,0.984090839154383,"Bees","Bees"
"COLLETES cunicularius",112,5.5,0.998276764008985,"Bees","Bees"
"COLLETES daviesanus",911,38,0.985983321537373,"Bees","Bees"
"COLLETES fodiens",591,30,0.990906852940271,"Bees","Bees"
"COLLETES marginatus",157,7.2,0.997584392405453,"Bees","Bees"
"COLLETES similis",529,24.2,0.991860787149583,"Bees","Bees"
"HYLAEUS dilatatus",770,38.8,0.988152752561775,"Bees","Bees"
"HYLAEUS brevicornis",788,33.6,0.987875803920362,"Bees","Bees"
"HYLAEUS communis",2206,85.8,0.966058405391267,"Bees","Bees"
"HYLAEUS confusus",629,25.5,0.990322183586177,"Bees","Bees"
"HYLAEUS cornutus",268,14,0.995876542450072,"Bees","Bees"
"HYLAEUS hyalinatus",941,36,0.985521740468351,"Bees","Bees"
"HYLAEUS pectoralis",132,6.5,0.997969043296304,"Bees","Bees"
"HYLAEUS pictipes",154,8,0.997630550512355,"Bees","Bees"
"HYLAEUS signatus",400,17.8,0.993845585746377,"Bees","Bees"
"ANDRENA alfkenella",62,5,0.999046065790688,"Bees","Bees"
"ANDRENA angustior",328,14.6,0.994953380312029,"Bees","Bees"
"ANDRENA apicata",190,11,0.997076653229529,"Bees","Bees"
