species,Spnvisits
Degelia ligulata,25
Degelia plumbea s. lat.,273
Degelia plumbea s. str.,17
Dermatocarpon deminuens,1
Dermatocarpon intestiniforme,26
Dermatocarpon leptophyllodes,5
Dermatocarpon luridum,133
Dermatocarpon meiophyllizum,36
Dermatocarpon miniatum,210
Dermatocarpon miniatum var. complicatum,4
Dermatocarpon rivulorum,1
Dibaeis baeomyces,313
Dictyonema interruptum,5
Didymellopsis collematum,0
Diederichia pseudeverniae,2
Dimerella lutea,378
Dimerella pineti,517
Diploicia canescens,4367
Diploschistes actinostomus,0
Diploschistes caesioplumbeus,24
Diploschistes gypsaceus,3
Diploschistes muscorum,155
Diploschistes scruposus,1013
Diplotomma alboatrum,3003
Diplotomma chlorophaeum,41
Diplotomma hedinii,33
Diplotomma murorum,3
Diplotomma pharcidium,21
Dirina massiliensis f. sorediata,2027
Dirina massiliensis f. massiliensis,1
Echinodiscus lesdainii,3
Eiglera flavida,1
Elixia flexella,7
Endocarpon adscendens,4
Endocarpon pallidulum,1
Endocarpon pusillum,6
Endococcus apiciicola,5
Endococcus brachysporus,5
Endococcus caudisporus,0
Endococcus exerrans,2
Endococcus fusiger,0
Endococcus macrosporus,1
Endococcus perpusillus,5
Endococcus propinquus,14
Endococcus rugulosus,10
Endococcus verrucisporus,5
Endophragmiella hughesii,0
Enterographa crassa,617
Enterographa elaborata,0
Enterographa hutchinsiae,52
Enterographa pitardii,1
Enterographa sorediata,11
Eopyrenula avellanae,2
Eopyrenula grandicula,67
Eopyrenula leucoplaca,0
Eopyrenula septemseptata,2
Ephebe hispidula,4
Ephebe lanata,194
Epicladonia sandstedei,6
Epicladonia stenospora,2
Epigloea bactrospora,1
Epigloea filifera,0
Epigloea grummannii,1
Epigloea medioincrassata,5
Epigloea soleiformis,9
Epilichen scabrosus,12
Epiphloea byssina,0
Euopsis granatina,0
Euopsis pulvinata,4
Evernia prunastri,3746
Everniicola flexispora,0
Farnoldia jurana,11
Fellhanera bouteillei,38
Fellhanera duplex,1
Fellhanera ochracea,4
Fellhanera subtilis,4
Fellhanera viridisorediata,3
Fellhaneropsis myrtillicola,7
Fellhaneropsis vezdae,53
Flavocetraria nivalis,30
Flavoparmelia caperata,2396
Flavoparmelia soredians,276
Frigidopyrenia bryospila,1
Frutidella caesioatra,7
Frutidella pullata,1
Fulgensia bracteata,0
Fulgensia fulgens,7
Fuscidea arboricola,17
Fuscidea austera,11
Fuscidea cyathoides var. cyathoides,940
Fuscidea cyathoides var. sorediata,1
Fuscidea gothoburgensis,40
Fuscidea intercincta,28
Fuscidea kochiana,95
Fuscidea lightfootii,939
Fuscidea lygaea,231
Fuscidea praeruptorum,84
Fuscidea pusilla,0
Fuscidea recensa,99
Fuscopannaria ignobilis,16
Fuscopannaria mediterranea,63
Fuscopannaria praetermissa,3
Fuscopannaria sampaiana,54
Geltingia associata,8
Gomphillus calycioides,23
Graphina anguina auct. europ.,87
Graphina pauciloculata,4
Graphina ruiziana,49
Graphis alboscripta,11
Graphis elegans,676
Graphis scripta,1125
Graphium aphthosae,0
Gregorella humida,0
Gyalecta biformis,3
Gyalecta derivata,34
Gyalecta flotowii,12
Gyalecta foveolaris,5
Gyalecta geoica,2
Gyalecta hypoleuca,0
Gyalecta jenensis var. jenensis,255
Gyalecta jenensis var. macrospora,2
Gyalecta truncigena,153
Gyalecta ulmi,5
Gyalidea fritzei,5
Gyalidea hyalinescens,3
Gyalidea lecideopsis,4
Gyalidea rivularis,2
Gyalidea roseola,1
Gyalidea subscutellaris,13
Gyalideopsis muscicola,46
Haematomma ochroleucum,14
Haematomma ochroleucum var. ochroleucum,416
Haematomma ochroleucum var. porphyrium,1366
Halecania alpivaga,0
Halecania micacea,0
Halecania ralfsii,38
Halecania rhypodiza,1
Halecania spodomela,6
Halecania viridescens,43
Hawksworthiana peltigericola,3
Hemigrapha atlantica,2
Herteliana gagei,41
Hertelidea botryosa,17
Heterodermia leucomela,5
Heterodermia obscurata,30
Heterodermia propagulifera,0
Heterodermia speciosa,0
Heteroplacidium fusculum,0
Homostegia piggotii,71
Hydropunctaria amphibia,25
Hydropunctaria aractina,1
Hydropunctaria maura,348
Hydropunctaria oceanica,6
Hydropunctaria orae,0
Hydropunctaria rheitrophila,21
Hydropunctaria scabra,3
Hymenelia epulotica,19
Hymenelia heteromorpha,4
Hymenelia melanocarpa,3
Hymenelia prevostii,63
Hyperphyscia adglutinata,478
Hypocenomyce anthracophila,2
Hypocenomyce caradocensis,56
Hypocenomyce friesii,44
Hypocenomyce scalaris,1203
Hypogymnia farinacea,4
Hypogymnia physodes,4492
Hypogymnia tubulosa,1834
Hypogymnia vittata,0
Hypotrachyna afrorevoluta,215
Hypotrachyna britannica,66
Hypotrachyna endochlora,19
Hypotrachyna laevigata,345
Hypotrachyna revoluta s. lat.,1354
Hypotrachyna revoluta s. str.,78
Hypotrachyna sinuosa,153
Hypotrachyna taylorensis,161
Icmadophila ericetorum,195
Illosporiopsis christiansenii,78
Illosporium carneum,5
Immersaria athroocarpa,72
Imshaugia aleurites,97
Intralichen baccisporus,0
Intralichen christiansenii,43
Intralichen lichenicola,1
Intralichen lichenum,1
Ionaspis lacustris,368
Ionaspis odora,7
Ionaspis suaveolens,4
Jamesiella anastomosans,187
Jamesiella scotica,5
Japewia subaurifera,20
Japewia tornoÙnsis,1
Japewiella tavaresiana,59
Julella sericea,1
Kalaallia reactiva,1
Kalchbrenneriella cyanescens,13
Koerberiella wimmeriana,8
Laeviomyces fallaciosus,0
Laeviomyces opegraphae,22
Laeviomyces pertusariicola,16
Lasallia pustulata,65
Lasiosphaeriopsis salisburyi,1
Lasiosphaeriopsis supersparsa,1
Lecanactis abietina,599
Lecanactis dilleniana,18
Lecanactis latebrarum,12
Lecanactis subabietina,92
Lecania aipospila,36
Lecania atrynoides,14
Lecania baeomma,22
Lecania chlorotiza,12
Lecania coeruleorubella,1
Lecania coerulescens,0
Lecania cuprea,16
Lecania cyrtella,614
Lecania cyrtellina,91
Lecania dubitans,1
Lecania erysibe s. lat.,2588
Lecania erysibe s. str.,55
Lecania fructigena,4
Lecania granulata,2
Lecania hutchinsiae,181
Lecania inundata,127
Lecania naegelii,290
Lecania nylanderiana,1
Lecania rabenhorstii,181
Lecania sambucina,3
Lecania suavis,13
Lecania subfuscula,6
Lecania sylvestris,6
Lecania turicensis,345
Lecanographa abscondita,8
Lecanographa amylacea,7
Lecanographa dialeuca,0
Lecanographa grumulosa,33
Lecanographa lyncea,33
Lecanora achariana,4
Lecanora actophila,128
Lecanora agardhiana,7
Lecanora aitema,117
Lecanora albella,71
Lecanora albellula,33
Lecanora albescens,5178
Lecanora alboflavida,53
Lecanora andrewii,8
Lecanora antiqua,1074
Lecanora argentata,89
Lecanora atromarginata,1
Lecanora atrosulphurea,2
Lecanora barkmaniana,75
Lecanora cadubriae,13
Lecanora caesiosora,83
Lecanora caledonica,0
Lecanora campestris subsp. campestris,5302
Lecanora campestris subsp. dolomitica,87
Lecanora carpinea,610
Lecanora cenisia,8
Lecanora chlarotera,3980
Lecanora cinereofusca,2
Lecanora compallens,71
Lecanora confusa,719
Lecanora conizaeoides f. conizaeoides,5033
Lecanora conizaeoides f. variola,0
Lecanora coppinsii,4
Lecanora crenulata,2268
Lecanora dispersa,6415
Lecanora epanora,53
Lecanora epibryon,0
Lecanora expallens,4756
Lecanora farinaria,75
Lecanora semipallida,86
Lecanora formosa,2
Lecanora frustulosa,1
Lecanora fugiens,64
Lecanora gangaleoides,599
Lecanora gisleriana,4
Lecanora hagenii,273
Lecanora handelii,17
Lecanora helicopis,223
Lecanora horiza,85
Lecanora hybocarpa,0
Lecanora hypoptella,3
Lecanora impudens,2
Lecanora intricata,1053
Lecanora intumescens,113
Lecanora invadens,7
Lecanora jamesii,326
Lecanora leptacina,2
Lecanora mughicola,3
Lecanora muralis,4170
Lecanora ochroidea,1
Lecanora orosthea,1679
Lecanora pannonica,182
Lecanora persimilis,186
Lecanora poliophaea,98
Lecanora polytropa,5342
Lecanora populicola,35
Lecanora praepostera,11
Lecanora pruinosa,35
Lecanora pulicaris,575
Lecanora quercicola,7
Lecanora rugosella,8
Lecanora rupicola var. efflorens,7
Lecanora rupicola var. rupicola,878
Lecanora saligna,221
Lecanora salina,2
Lecanora sambuci,46
Lecanora sarcopidoides,0
Lecanora sinuosa,0
Lecanora soralifera,1994
Lecanora stenotropa,90
Lecanora straminea,13
Lecanora strobilina,1
Lecanora subaurea,21
Lecanora subcarnea,8
Lecanora sublivescens,20
Lecanora sulphurea,2003
Lecanora swartzii,7
Lecanora symmicta,1007
Lecanora varia,249
Lecanora viridiatra,4
Lecanora zosterae,32
Lecidea ahlesii,3
Lecidea alpestris,0
Lecidea auriculata,20
Lecidea berengeriana,4
Lecidea brachyspora,4
Lecidea commaculans,3
Lecidea confluens,20
Lecidea diducens,46
Lecidea endomelaena,6
Lecidea erythrophaea,9
Lecidea exigua,0
Lecidea fuliginosa,16
Lecidea fuscoatra s. lat.,1785
Lecidea fuscoatra s. str.,29
Lecidea globulispora,2
Lecidea grisella,206
Lecidea hypnorum,41
Lecidea hypopta,45
Lecidea inops,1
Lecidea lactea s. lat.,120
Lecidea lactea s. str.,43
Lecidea lapicida,78
Lecidea leprarioides,0
Lecidea lichenicola,7
Lecidea lithophila,503
Lecidea nylanderi,38
Lecidea obluridata,0
Lecidea paupercula,5
Lecidea phaeops,49
Lecidea plana,90
Lecidea promixta,2
Lecidea sanguineoatra,84
Lecidea sarcogynoides,1
Lecidea silacea,9
Lecidea swartzioidea,22
Lecidea syncarpa,1
Lecidea turgidula,79
Lecidella anomaloides,14
Lecidella asema,285
Lecidella carpathica,160
Lecidella elaeochroma f. elaeochroma,2984
Lecidella elaeochroma f. soralifera,90
Lecidella flavosorediata,3
Lecidella meiococca,51
Lecidella patavina,1
Lecidella scabra,4553
Lecidella stigmatea,4155
Lecidella subviridis,1
Lecidella viridans,1
Lecidella wulfenii,0
Lecidoma demissum,12
Lemmopsis arnoldiana,2
Lemmopsis oblongans,0
Lempholemma botryosum,10
Lempholemma chalazanellum,6
Lempholemma chalazanodes,4
Lempholemma chalazanum,3
Lempholemma cladodes,9
Lempholemma intricatum,1
Lempholemma polyanthes,26
Lempholemma radiatum,5
Lepraria atlantica,4
Lepraria borealis,10
Lepraria caesioalba,284
Lepraria crassissima,7
Lepraria diffusa var. chrysodetoides,3
Lepraria diffusa var. diffusa,9
Lepraria eburnea,12
Lepraria ecorticata,70
Lepraria elobata,13
Lepraria incana s. lat.,5899
Lepraria incana s. str.,981
Lepraria jackii,61
Lepraria lobificans,1106
Lepraria membranacea,253
Lepraria neglecta,36
Lepraria nivalis,47
Lepraria rigidula,130
Lepraria sylvicola,7
Lepraria umbricola,50
Lepraria vouauxii,1778
Leprocaulon microscopicum,85
Leptogidium dendriscum,8
Leptogium biatorinum,12
Leptogium brebissonii,83
Leptogium britannicum,86
Leptogium burgessii,154
Leptogium cochleatum,7
Leptogium coralloideum,6
Leptogium cyanescens,149
Leptogium diffractum,8
Leptogium gelatinosum,533
Leptogium hibernicum,12
Leptogium imbricatum,2
Leptogium intermedium,7
Leptogium lichenoides,409
Leptogium massiliense,1
Leptogium palmatum,16
Leptogium plicatile,159
Leptogium pulvinatum,11
Leptogium saturninum,10
Leptogium schraderi,170
Leptogium subtile,20
Leptogium tenuissimum,6
Leptogium teretiusculum,254
Leptogium turgidum,139
Leptorhaphis atomaria,57
Leptorhaphis epidermidis,59
Leptorhaphis maggiana,5
Leptosphaeria ramalinae,1
Leptosphaerulina peltigerae,1
Lettauia cladoniicola,1
Lichen (unidentified),181
Lichenicolous fungus (unidentified),32
Lichenochora aipoliae,1
Lichenochora aprica,0
Lichenochora coarctatae,1
Lichenochora inconspicua,1
Lichenochora lecidellae,2
Lichenochora mediterraneae,0
Lichenochora obscuroides,5
Lichenochora weillii,1
Lichenoconium cargillianum,1
Lichenoconium erodens,54
Lichenoconium lecanorae,36
Lichenoconium lichenicola,3
Lichenoconium pyxidatae,0
Lichenoconium reichlingii,0
Lichenoconium usneae,4
Lichenoconium xanthoriae,23
Lichenodiplis lecanorae,29
Lichenodiplis lichenicola,4
Lichenomphalia alpina,33
Lichenomphalia hudsoniana,86
Lichenomphalia umbellifera,298
Lichenomphalia velutina,1
Lichenopeltella peltigericola,0
Lichenopeltella ramalinae,3
Lichenopuccinia poeltii,4
Lichenosticta alcicornaria,3
Lichenostigma elongatum,1
Lichenostigma maureri,2
Lichenostigma rugosum,3
Lichenothelia convexa,2
Lichenothelia renobalesiana,3
Lichina confinis,177
Lichina pygmaea,71
Lichinodium sirosiphoideum,0
Lithographa tesserata,13
Lithothelium phaeosporum,3
Llimonaea sorediata,30
Lobaria amplissima,138
Lobaria pulmonaria,638
Lobaria scrobiculata,334
Lobaria virens,325
Lopadium coralloideum,2
Lopadium disciforme,121
Lopadium pezizoideum,0
Loxospora elatina,365
Marchandiomyces aurantiacus,67
Marchandiomyces corallinus,57
Massalongia carnosa,55
Megalaria grossa,125
Megalaria laureri,0
Megalaria pulverea,366
Megalospora tuberculosa,12
Megaspora verrucosa,2
Melanelia disjuncta,12
Melanelia hepatizon,20
Melanelia stygia,5
Melanelixia fuliginosa,4184
Melanelixia glabratula,684
Melanelixia subargentifera,0
Melanelixia subaurifera,2933
Melanohalea elegantula,151
Melanohalea exasperata,288
Melanohalea exasperatula,134
Melanohalea laciniatula,150
Melanohalea septentrionalis,11
Melaspilea amota,5
Melaspilea atroides,15
Melaspilea bagliettoana,0
Melaspilea granitophila,8
Melaspilea interjecta,5
Melaspilea lentiginosa,5
Melaspilea lentiginosula,3
Melaspilea ochrothalamia,30
Melaspilea proximella,20
Menegazzia subsimilis,8
Menegazzia terebrata,114
Merismatium deminutum,10
Merismatium discrepans,2
Merismatium nigritellum,0
Metamelanea umbonata,1
Micarea adnata,45
Micarea alabastrites,138
Micarea assimilata,1
Micarea bauschiana,91
Micarea botryoides,124
Micarea cinerea f. cinerea,71
Micarea cinerea f. tenuispora,3
Micarea contexta,4
Micarea coppinsii,79
Micarea crassipes,0
Micarea curvata,5
Micarea deminuta,0
Micarea denigrata,550
Micarea doliiformis,36
Micarea erratica,153
Micarea eximia,2
Micarea farinosa,0
Micarea globulosella,1
Micarea hedlundii,3
Micarea hypoviolascens,0
Micarea incrassata,4
Micarea inquinans,1
Micarea lapillicola,0
Micarea leprosula,240
Micarea lignaria var. lignaria,763
Micarea lignaria var. endoleuca,29
Micarea lithinella,17
Micarea lutulata,29
Micarea lynceola,1
Micarea marginata,2
Micarea melaena,136
Micarea micrococca,121
Micarea misella,35
Micarea myriocarpa,26
Micarea nigella,10
Micarea nitschkeana,99
Micarea paratropa,2
Micarea parva,0
Micarea peliocarpa,182
Micarea prasina s. lat.,613
Micarea prasina s. str.,1
Micarea pseudomarginata,7
Micarea pycnidiophora,10
Micarea stipitata,93
Micarea submilliaria,3
Micarea subnigrata,20
Micarea subviridescens,3
Micarea sylvicola,75
Micarea synotheoides,32
Micarea ternaria,9
Micarea tuberculata,11
Micarea turfosa,6
Micarea viridiatra,2
Micarea viridileprosa,55
Micarea xanthonica,41
Microcalicium ahlneri,16
Microcalicium arenarium,5
Microcalicium disseminatum,13
Milospium graphideorum,14
Milospium lacoizquetae,3
Minutoexcipula tephromelae,7
Minutophoma chrysophthalmae,5
Miriquidica atrofulva,7
Miriquidica complanata f. complanata,18
Miriquidica complanata f. sorediata,1
Miriquidica garovaglioi,0
Miriquidica griseoatra,0
Miriquidica intrudens,0
Miriquidica leucophaea,276
Miriquidica lulensis,4
Miriquidica nigroleprosa var. nigroleprosa,9
Miriquidica nigroleprosa var. liljenstroe,2
Miriquidica pycnocarpa f. pycnocarpa,42
Miriquidica pycnocarpa f. sorediata,16
Mniaecia jungermanniae,13
Mniaecia nivea,0
Moelleropsis nebulosa,39
Monodictys cellulosa,3
Monodictys epilepraria,2
Monodictys fuliginosa,1
Muellerella erratica,2
Muellerella hospitans,7
Muellerella lichenicola,73
Muellerella polyspora,2
Muellerella pygmaea,31
Muellerella ventosicola,4
Mycobilimbia carneoalbida,0
Mycobilimbia epixanthoides,73
Mycobilimbia pilularis,132
Mycobilimbia tetramera,0
Mycoblastus affinis,25
Mycoblastus alpinus,5
Mycoblastus caesius,309
Mycoblastus sanguinarius f. sanguinarius,360
Mycoblastus sanguinarius f. leprosus,5
Mycocalicium subtile,4
Mycoglaena acuminans,2
Mycoglaena myricae,64
Mycomicrothelia atlantica,3
Mycomicrothelia confusa,63
Mycomicrothelia wallrothii,3
Mycoporum antecellens,191
Mycoporum lacteum,5
Myochroidea porphyrospoda,4
Myriospora rufescens,498
Myriospora scabrida,2
Myriospora smaragdula,606
Myxophora leptogiophila,6
Nanostictis christiansenii,2
Nectriopsis indigens,1
Nectriopsis lecanodes,16
Nectriopsis micareae,1
Nectriopsis rubefaciens,3
Neobarya peltigerae,0
Nephroma arcticum,0
Nephroma laevigatum,485
Nephroma parile,240
Nephroma tangeriense,3
Nesolechia oxyspora,40
Niesslia lobariae,0
Nigromacula uniseptata,8
Normandina acroglypta,75
Normandina pulchella,884
Obryzum corniculatum,0
Ochrolechia androgyna,1548
Ochrolechia arborea,1
Ochrolechia frigida f. frigida,197
Ochrolechia frigida f. lapuÙnsis,16
Ochrolechia inaequatula,8
Ochrolechia microstictoides,227
Ochrolechia parella,2643
Ochrolechia subviridis,472
Ochrolechia szatalaÙnsis,98
Ochrolechia tartarea,453
Ochrolechia turneri s. lat.,196
Ochrolechia turneri s. str.,42
Ochrolechia xanthostoma,8
Odontotrema pertusariae,1
Opegrapha anomea,0
Opegrapha areniseda,29
Opegrapha arthoniicola in ed.,5
Opegrapha atra,888
Opegrapha brevis,2
Opegrapha calcarea,1168
Opegrapha cesareensis,36
Opegrapha corticola,74
Opegrapha demutata,5
Opegrapha dolomitica,38
Opegrapha fumosa,15
Opegrapha glaucomaria,5
Opegrapha gyrocarpa,694
Opegrapha herbarum,271
Opegrapha hochstetteri in ed.,0
Opegrapha lithyrga,27
Opegrapha mougeotii,51
Opegrapha multipuncta,102
Opegrapha niveoatra,221
Opegrapha ochrocheila,233
Opegrapha parasitica,10
Opegrapha paraxanthodes,0
Opegrapha pertusariicola,33
Opegrapha physciaria,4
Opegrapha prosodea,25
Opegrapha pulvinata,6
Opegrapha rotunda,1
Opegrapha rufescens,66
Opegrapha rupestris,100
Opegrapha saxigena,29
Opegrapha sorediifera,228
Opegrapha sphaerophoricola,5
Opegrapha subelevata,2
Opegrapha thelotrematis,24
Opegrapha trochodes,0
Opegrapha varia,389
Opegrapha vermicellifera,218
Opegrapha verrucariae in ed.,1
Opegrapha viridipruinosa,56
Opegrapha viridis,6
Opegrapha vulgata,741
Opegrapha xerica,50
Opegrapha zonata,387
Opegrapha zwackhii,1
Ophioparma ventosa,304
Orphniospora moriopsis var. brunnea,1
Orphniospora moriopsis var. moriopsis,9
Pachyphiale carneola,199
Pachyphiale fagicola,1
Pannaria conoplea,235
Pannaria hookeri,3
Pannaria rubiginosa,308
Paranectria affinis,0
Paranectria oropensis subsp. oropensis,6
Paranectria superba,0
Parmelia discordans,114
Parmelia ernstiae,31
Parmelia omphalodes,784
Parmelia saxatilis,4401
Parmelia submontana,1
Parmelia sulcata,5831
Parmeliella parvula,230
Parmeliella testacea,81
Parmeliella triptophylla,307
Parmelina carporrhizans,10
Parmelina pastillifera,164
Parmelina tiliacea,76
Parmelinopsis horrescens,40
Parmelinopsis minarum,27
Parmeliopsis ambigua,288
Parmeliopsis hyperopta,140
Parmotrema arnoldii,9
Parmotrema crinitum,365
Parmotrema perlatum,1839
Parmotrema pseudoreticulatum,1
Parmotrema reticulatum,101
Parmotrema robustum,1
Peltigera britannica,58
Peltigera canina,146
Peltigera collina,258
Peltigera degenii,8
Peltigera didactyla,155
Peltigera elisabethae,1
Peltigera horizontalis,298
Peltigera hymenina,1251
Peltigera lepidophora,0
Peltigera leucophlebia,108
Peltigera malacea,12
Peltigera membranacea,1091
Peltigera neckeri,47
Peltigera polydactylon,58
Peltigera ponojensis,1
Peltigera praetextata,662
Peltigera rufescens,315
Peltigera scabrosa,1
Peltigera scabrosella,0
Peltigera venosa,3
Perigrapha superveniens,1
Pertusaria albescens var. albescens,597
Pertusaria albescens var. corallina,851
Pertusaria amara f. amara,2251
Pertusaria amara f. pulvinata,8
Pertusaria amarescens,1
Pertusaria aspergilla,209
Pertusaria borealis,19
Pertusaria bryontha,0
Pertusaria chiodectonoides,9
Pertusaria coccodes,236
Pertusaria corallina,1046
Pertusaria coronata,19
Pertusaria dactylina,12
Pertusaria excludens,62
Pertusaria flavicans,131
Pertusaria flavida,101
Pertusaria flavocorallina,1
Pertusaria geminipara,3
Pertusaria glomerata,0
Pertusaria hutchinsiae,0
Pertusaria hymenea,933
Pertusaria lactescens,197
Pertusaria leioplaca,961
Pertusaria melanochlora,0
Pertusaria monogona,7
Pertusaria multipuncta,428
Pertusaria oculata,10
Pertusaria ophthalmiza,47
Pertusaria pertusa,1682
Pertusaria pluripuncta,2
Pertusaria pseudocorallina,532
Pertusaria pupillaris,189
Pertusaria pustulata,1
Petractis clausa,60
Petractis nodispora,1
Pezizella epithallina,2
Phacopsis huuskonenii,8
Phaeocalicium populneum,8
Phaeocalicium praecedens,7
Phaeographis dendritica,269
Phaeographis inusta,41
Phaeographis lyellii,28
Phaeographis smithii,72
Phaeophyscia endococcina,3
Phaeophyscia endophoenicea,9
Phaeophyscia nigricans,663
Phaeophyscia orbicularis,5499
Phaeophyscia sciastra,11
Phaeopyxis punctum,6
Phaeopyxis varia,8
Phaeospora parasitica,12
Phaeospora rimosicola,4
Phaeosporobolus alpinus,8
Phaeosporobolus usneae,11
Phlyctis agelaea,32
Phlyctis argena,2454
Phoma lobariicola,0
Phoma physciicola,0
Phylloblastia fortuita,1
Phylloblastia inexpectata,12
Phyllopsora rosei,49
Physcia adscendens nom. cons.,6026
Physcia aipolia,994
Physcia caesia,4248
Physcia clementei,37
Physcia dubia,1257
Physcia leptalea,69
Physcia stellaris,102
Physcia tenella,4129
Physcia tribacia,184
Physcia tribacioides,26
Physconia distorta,413
Physconia enteroxantha,267
Physconia grisea,3115
Physconia perisidiosa,115
Piccolia ochrophora,54
Pilophorus strumaticus,40
Placidiopsis custnani,15
Placidiopsis pseudocinerea,0
Placidium boccanum,0
Placidium lachneum,36
Placidium pilosellum,13
Placidium rufescens,1
Placidium squamulosum,80
Placopsis gelida,21
Placopsis lambii,217
Placopyrenium canellum,3
Placopyrenium cinereoatratum,0
Placopyrenium formosum,0
Placopyrenium fuscellum,2250
Placynthiella dasaea,100
Placynthiella hyporhoda,0
Placynthiella icmalea,1564
Placynthiella oligotropha,12
Placynthiella uliginosa,244
Placynthium asperellum,4
Placynthium flabellosum,26
Placynthium garovaglioi,5
Placynthium lismorense,5
Placynthium nigrum,1244
Placynthium pannariellum,2
Placynthium subradiatum,19
Placynthium tantaleum,4
Placynthium tremniacum,0
Platismatia glauca,1925
Platismatia norvegica,38
Plectocarpon lichenum,19
Plectocarpon scrobiculatae,7
Pleopsidium chlorophanum,0
Pleurosticta acetabulum,60
Polyblastia agraria,9
Polyblastia albida,33
Polyblastia cruenta,47
Polyblastia cupularis,31
Polyblastia dermatodes,21
Polyblastia efflorescens,3
Polyblastia helvetica,0
Polyblastia inumbrata,3
Polyblastia melaspora,30
Polyblastia philaea,5
Polyblastia quartzina,0
Polyblastia sendtneri,0
Polyblastia terrestris,3
Polyblastia theleodes,28
Polyblastia verrucosa,0
Polychidium muscicola,62
Polycoccum arnoldii,0
Polycoccum crassum,0
Polycoccum marmoratum,3
Polycoccum microcarpum,1
Polycoccum microsticticum,3
Polycoccum minutulum,1
Polycoccum peltigerae,2
Polycoccum pulvinatum,39
Polycoccum squamarioides,8
Polycoccum trypethelioides,1
Polysporina cyclocarpa,2
Polysporina subfuscescens,14
Polysporina simplex,1195
Porina aenea,542
Porina ahlesiana,2
Porina borreri,43
Porina byssophila,30
Porina chlorotica f. chlorotica,426
Porina chlorotica f. tenuifera,0
Porina coralloidea,30
Porina curnowii,0
Porina ginzbergeri,0
Porina grandis,2
Porina guentheri var. guentheri,8
Porina guentheri var. lucens,1
Porina hibernica,5
Porina interjungens,3
Porina lectissima,109
Porina leptalea,89
Porina leptospora,0
Porina linearis,125
Porina mammillosa,3
Porina rosei,20
Porina sudetica,1
Porocyphus coccodes,8
Porocyphus kenmorensis,3
Porocyphus leptogiella,4
Porpidia cinereoatra,658
Porpidia contraponenda,17
Porpidia crustulata,800
Porpidia flavicunda,4
Porpidia flavocruenta,26
Porpidia hydrophila,85
Porpidia islandica,1
Porpidia macrocarpa f. macrocarpa,960
Porpidia macrocarpa f. nigrocruenta,9
Porpidia melinodes,75
Porpidia nadvornikiana,2
Porpidia ochrolemma,1
Porpidia platycarpoides,123
Porpidia rugosa,35
Porpidia soredizodes,1343
Porpidia speirea,31
Porpidia striata,4
Porpidia superba f. superba,4
Porpidia superba f. sorediata,1
Porpidia tuberculosa,5370
Pronectria anisospora,11
Pronectria echinulata,1
Pronectria fissuriprodiens,6
Pronectria leptaleae,2
Pronectria oligospora,1
Pronectria pertusariicola,2
Pronectria robergei,1
Pronectria santessonii,8
Pronectria tenuispora,1
Protoblastenia calva,114
Protoblastenia cyclospora,1
Protoblastenia incrustans,71
Protoblastenia lilacina,12
Protoblastenia rupestris,3163
Protoblastenia siebenhaariana,3
Protomicarea limosa,5
Protopannaria pezizoides,216
Protoparmelia atriseda,0
Protoparmelia badia,568
Protoparmelia memnonia,4
Protoparmelia montagnei,3
Protoparmelia nephaea,0
Protoparmelia ochrococca,85
Protoparmelia oleagina,34
Protothelenella corrosa,3
Protothelenella sphinctrinoidella,2
Protothelenella sphinctrinoides,2
Protounguicularia nephromatis,0
Psammina inflata,2
Psammina simplex,0
Psammina stipitata,13
Pseudephebe minuscula,1
Pseudephebe pubescens,97
Pseudevernia furfuracea s. lat.,511
Pseudevernia furfuracea var. ceratea,422
Pseudevernia furfuracea var. furfuracea,167
Pseudocyphellaria aurata,0
Pseudocyphellaria crocata,58
Pseudocyphellaria intricata,41
Pseudocyphellaria lacerata,4
Pseudocyphellaria norvegica,90
Pseudocyphellaria thouarsii,0
Pseudoseptoria usneae,1
Psilolechia clavulifera,16
Psilolechia leprosa,977
Psilolechia lucida,4454
Psora decipiens,11
Psora globifera,0
Psora rubiformis,0
Psoroglaena abscondita,4
Psoroglaena stigonemoides,61
Psoroma hypnorum,68
Psorotichia schaereri,15
Pterygiopsis concordatula,1
Pterygiopsis lacustris,5
Ptychographa xylographoides,26
Punctelia borreri,75
Punctelia jeckeri,621
Punctelia reddenda,122
Punctelia subrudecta s. lat.,1227
Punctelia subrudecta s. str.,725
Pycnora leucococca,0
Pycnora sorophora,12
Pycnora xanthococca,2
Pycnothelia papillaria,136
Pyrenidium actinellum,17
Pyrenidium hetairizans,1
Pyrenocarpon thelostomum,1
Pyrenopsis furfurea,0
Pyrenopsis grumulifera,5
Pyrenopsis impolita,2
Pyrenopsis subareolata,6
Pyrenula acutispora,2
Pyrenula chlorospila,258
Pyrenula coryli,0
Pyrenula dermatodes,0
Pyrenula hibernica,2
Pyrenula laevigata,80
Pyrenula macrospora,413
Pyrenula nitida,1
Pyrenula occidentalis,221
Pyrrhospora quernea,886
Pyrrhospora rubiginans,1
Raciborskiomyces peltigericola,2
Racodium rupestre,79
Ramalina calicaris,152
Ramalina canariensis,311
Ramalina capitata,6
Ramalina cuspidata,123
Ramalina farinacea,3202
Ramalina fastigiata,1074
Ramalina fraxinea,351
Ramalina lacera,90
Ramalina pollinaria,24
Ramalina polymorpha,5
Ramalina portuensis,6
Ramalina siliquosa,595
Ramalina subfarinacea,321
